what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334941754594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334941761619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334941763482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334941770874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334941778230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1334941784374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334941786441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334941787507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334941789603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334941800569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334941802042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334941804300
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334941804354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334941805310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334941848513
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334941851617
error,log,,,"Could not write metadata for '/'.",1334941922304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334941922351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334941924160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334941971910
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334941978405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334941998394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334942000435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334942005747
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334942014768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942017103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942018608
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334942018662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942022470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942024135
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334942024193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942024693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942029342
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1334942074408
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1334942076128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334942109107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942120144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942122895
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334942122948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942123398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942126823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334942145931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334942186161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942188388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942189677
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334942189731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942190207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942195117
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1334942199309
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334942202884
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334942204128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334942204553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334942209350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334942214917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334942217614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942218399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334942219653
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334942219706
