what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884326194
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884326712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884327248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884329914
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1334884351554
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334884353255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334884355270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884355680
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884357279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884357690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884364646
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334884365976
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334884368546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334884398563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884402208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1334884404316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334884408507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884413810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334884414353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884415048
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884415343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884416043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884418161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334884424866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884437167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884438640
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884439168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884439659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884441786
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1334884446189
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334884463981
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334884490378
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334884498643
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1334884544656
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334884564895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884578855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884581490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884584161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884586318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884589639
executed,command,org.eclipse.mylyn.tasks.search,,"org.eclipse.mylyn.tasks.ui.command.searchForTask",1334884589690
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884591284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884591803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884596975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884609452
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884610482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884611277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884615028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884661734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334884668837
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884671549
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884673640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884674035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884678774
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334884679999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884686611
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884687145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884688132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884693462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884696207
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884697369
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884697793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884702709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884704962
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884705379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884706107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884711122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884713172
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884713624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884714095
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884718541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884719592
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884719992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884720534
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884726754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884734102
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884734606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884734731
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884736668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884740796
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884741439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884742250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884748015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884752525
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884753023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884753608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884770982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334884780788
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334884781262
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884781975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884792000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884799789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334884806569
