what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334934165518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334934169722
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334934183180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334934187928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934189177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934191322
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334934191387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934192201
error,log,,,"Could not write metadata for '/'.",1334934193418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934197961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934199540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934256287
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334934259782
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334934260427
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334934260994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334934279944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934281656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934283384
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334934283433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934284339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934288413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334934297467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334934306758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934308146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934310503
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334934310550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934310978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934313926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334934319490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334934329394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934330418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934333451
executed,command,org.eclipse.mylyn.tasks.search,,"org.eclipse.mylyn.tasks.ui.command.searchForTask",1334934333499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934334871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934336591
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334934336638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934337468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934340930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334934370128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334934385710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934388768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934390437
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334934390485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934391201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334934394544
